"Citation:  Lovelace, J.K., Nielsen, M.G., Read, A.L., and Murphy, C.J., 2020, Estimated Groundwater Withdrawals from Principal Aquifers in the United States—County Level Data for 2015: U.S. Geological Survey data release, https://doi.org/10.5066/P9EI0KMR.
[--, no data]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,State_FIPS,CountyAquifer,CountyAquifer Name,PS-GWPop,PS-GWPop-M,PS-WGWFr,PS-WGWFr-M,PS-WGWSa,PS-WGWSa-M,PS-WGWTo,DO-WGWFr,DO-WGWFr-M,DO-SSPop,DO-SSPop-M,IN-WGWFr,IN-WGWFr-M,IN-WGWSa,IN-WGWSa-M,IN-WGWTo,PO-WGWFr,PO-WGWFr-M,PO-WGWSa,PO-WGWSa-M,PO-WGWTo,PC-WGWFr,PC-WGWFr-M,PC-WGWSa,PC-WGWSa-M,PC-WGWTo,PT-WGWFr,PT-WGWSa,PT-WGWTo,MI-WGWFr,MI-WGWFr-M,MI-WGWSa,MI-WGWSa-M,MI-WGWTo,LI-WGWFr,LI-WGWFr-M,AQ-WGWFr,AQ-WGWFr-M,AQ-WGWSa,AQ-WGWSa-M,AQ-WGWTo,IC-WGWFr,IC-WGWFr-M,IG-WGWFr,IG-WGWFr-M,IR-WGWFr,IR-WGWFr-M,IT-WGWFr,TO-WGWFr,TO-WGWSa,TO-WGWTo
Alabama,1,01-007-N500VLYRDG,AL-Bibb County-Valley and Ridge aquifers,--,--,5.18,EGAM,0,EGAM,5.18,0.05,EGAM,0.467,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0.09,EGAM,0,EGAM,0.09,0.01,EGAM,0,EGAM,0,EGAM,0,0.01,EGAM,0,EGAM,--,--,0.01,5.34,0,5.34
Alabama,1,01-007-N9999OTHER,AL-Bibb County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-007-S100SECSLP,AL-Bibb County-Southeastern Coastal Plain aquifer system,--,--,0,EGAM,0,EGAM,0,0.11,EGAM,1.169,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0.18,EGAM,0,EGAM,0.18,0.02,EGAM,0,EGAM,0,EGAM,0,0.02,EGAM,0,EGAM,--,--,0.02,0.33,0,0.33
Alabama,1,01-009-N300PNSLVN,AL-Blount County-Pennsylvanian aquifers,--,--,1.39,EGAM,0,EGAM,1.39,0.75,EGAM,11.251,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0.32,EGAM,0,EGAM,0.32,0.38,EGAM,0,EGAM,0,EGAM,0,0.18,EGAM,0,EGAM,--,--,0.18,3.02,0,3.02
Alabama,1,01-009-N500VLYRDG,AL-Blount County-Valley and Ridge aquifers,--,--,1.39,EGAM,0,EGAM,1.39,0.11,EGAM,1.607,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0.05,EGAM,0,EGAM,0.05,0.05,EGAM,0,EGAM,0,EGAM,0,0.02,EGAM,0,EGAM,--,--,0.02,1.62,0,1.62
Alabama,1,01-009-N9999OTHER,AL-Blount County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-011-N9999OTHER,AL-Bullock County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-011-S100SECSLP,AL-Bullock County-Southeastern Coastal Plain aquifer system,--,--,2.11,EGAM,0,EGAM,2.11,0.07,EGAM,0.738,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0.06,EGAM,0,EGAM,0,EGAM,0,0.92,EGAM,0,EGAM,--,--,0.92,3.16,0,3.16
Alabama,1,01-013-N100ALLUVL,AL-Butler County-Alluvial aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-013-N9999OTHER,AL-Butler County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
