"Citation:  Lovelace, J.K., Nielsen, M.G., Read, A.L., and Murphy, C.J., 2020, Estimated Groundwater Withdrawals from Principal Aquifers in the United States—County Level Data for 2015: U.S. Geological Survey data release, https://doi.org/10.5066/P9EI0KMR.
[--, no data]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,State_FIPS,CountyAquifer,CountyAquifer Name,PS-GWPop,PS-GWPop-M,PS-WGWFr,PS-WGWFr-M,PS-WGWSa,PS-WGWSa-M,PS-WGWTo,DO-WGWFr,DO-WGWFr-M,DO-SSPop,DO-SSPop-M,IN-WGWFr,IN-WGWFr-M,IN-WGWSa,IN-WGWSa-M,IN-WGWTo,PO-WGWFr,PO-WGWFr-M,PO-WGWSa,PO-WGWSa-M,PO-WGWTo,PC-WGWFr,PC-WGWFr-M,PC-WGWSa,PC-WGWSa-M,PC-WGWTo,PT-WGWFr,PT-WGWSa,PT-WGWTo,MI-WGWFr,MI-WGWFr-M,MI-WGWSa,MI-WGWSa-M,MI-WGWTo,LI-WGWFr,LI-WGWFr-M,AQ-WGWFr,AQ-WGWFr-M,AQ-WGWSa,AQ-WGWSa-M,AQ-WGWTo,IC-WGWFr,IC-WGWFr-M,IG-WGWFr,IG-WGWFr-M,IR-WGWFr,IR-WGWFr-M,IT-WGWFr,TO-WGWFr,TO-WGWSa,TO-WGWTo
Illinois,17,17-075-N100GLCIAL,IL-Iroquois County-Sand and gravel aquifers (glaciated regions),16.556,EGAM,1.66,EGDU,0,EGDU,1.66,0.53,EGAM,6.588,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0.01,EGDU,0,EGDU,0.01,0.47,EGDU,0,EGDU,0,EGDU,0,0.58,EGDU,0.03,EGDU,--,--,0.61,3.28,0,3.28
Illinois,17,17-075-N400SLRDVN,IL-Iroquois County-Silurian-Devonian aquifers,2.493,EGAM,0.25,EGDU,0,EGDU,0.25,0.18,EGAM,2.237,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.15,EGDU,0,EGDU,0,EGDU,0,0.19,EGDU,0.01,EGDU,--,--,0.2,0.78,0,0.78
Illinois,17,17-075-N500MSSPPI,IL-Iroquois County-Mississippian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0,0,0
Illinois,17,17-075-N9999OTHER,IL-Iroquois County-Other aquifers,0.798,EGAM,0.08,EGDU,0,EGDU,0.08,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.08,0,0.08
Illinois,17,17-077-N100GLCIAL,IL-Jackson County-Sand and gravel aquifers (glaciated regions),0.588,EGAM,0.06,EGDU,0,EGDU,0.06,0.02,EGAM,0.25,EGAM,0,EGDU,0,EGDU,0,0.11,EGDU,0,EGDU,0.11,0,EGDU,0,EGDU,0,0.11,0,0.11,0,EGDU,0,EGDU,0,0.01,EGDU,0.03,EGDU,0,EGDU,0.03,0.01,EGDU,0,EGDU,--,--,0.01,0.24,0,0.24
Illinois,17,17-077-N300PNSLVN,IL-Jackson County-Pennsylvanian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0,0,0
Illinois,17,17-077-N500MSSPPI,IL-Jackson County-Mississippian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0.39,EGAM,4.871,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.15,EGDU,0,EGDU,0,EGDU,0,0.2,EGDU,0,EGDU,--,--,0.2,0.74,0,0.74
Illinois,17,17-077-N9999OTHER,IL-Jackson County-Other aquifers,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0.5,EGDU,0.5,0,EGDU,0.76,EGDU,0,EGDU,0.76,0,EGDU,0,EGDU,--,--,0,0.76,0.5,1.26
Illinois,17,17-077-S400OZRKPL,IL-Jackson County-Ozark Plateaus aquifer system,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0,0,0
Illinois,17,17-079-N100GLCIAL,IL-Jasper County-Sand and gravel aquifers (glaciated regions),6.076,EGAM,1.55,EGDU,0,EGDU,1.55,0.16,EGAM,2.034,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.68,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,2.39,0,2.39
Illinois,17,17-079-N300PNSLVN,IL-Jasper County-Pennsylvanian aquifers,0.078,EGAM,0.02,EGDU,0,EGDU,0.02,0.05,EGAM,0.635,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.23,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.3,0,0.3
Illinois,17,17-079-N9999OTHER,IL-Jasper County-Other aquifers,0.784,EGAM,0.2,EGDU,0,EGDU,0.2,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0.5,EGDU,0.5,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.2,0.5,0.7
Illinois,17,17-081-N100GLCIAL,IL-Jefferson County-Sand and gravel aquifers (glaciated regions),0,EGAM,0,EGDU,0,EGDU,0,0.29,EGAM,3.607,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.16,EGDU,0,EGDU,0,EGDU,0,0.01,EGDU,0,EGDU,--,--,0.01,0.46,0,0.46
Illinois,17,17-081-N300PNSLVN,IL-Jefferson County-Pennsylvanian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0.1,EGAM,1.244,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.05,EGDU,0,EGDU,0,EGDU,0,0.01,EGDU,0,EGDU,--,--,0.01,0.16,0,0.16
Illinois,17,17-081-N9999OTHER,IL-Jefferson County-Other aquifers,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0.5,EGDU,0.5,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0,0.5,0.5
Illinois,17,17-083-N100GLCIAL,IL-Jersey County-Sand and gravel aquifers (glaciated regions),8.897,EGAM,1.08,EGDU,0,EGDU,1.08,0.05,EGAM,0.6,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.05,EGDU,0,EGDU,0,EGDU,0,0.03,EGDU,0.02,EGDU,--,--,0.05,1.23,0,1.23
Illinois,17,17-083-N300PNSLVN,IL-Jersey County-Pennsylvanian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0,0,0
Illinois,17,17-083-N400SLRDVN,IL-Jersey County-Silurian-Devonian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0,0,0
Illinois,17,17-083-N500MSSPPI,IL-Jersey County-Mississippian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0.05,EGAM,0.6,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.04,EGDU,0,EGDU,0,EGDU,0,0.03,EGDU,0.01,EGDU,--,--,0.04,0.13,0,0.13
Illinois,17,17-083-N9999OTHER,IL-Jersey County-Other aquifers,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0,0,0
Illinois,17,17-085-N100GLCIAL,IL-Jo Daviess County-Sand and gravel aquifers (glaciated regions),1.166,EGAM,0.16,EGDU,0,EGDU,0.16,0.44,EGAM,5.536,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0.01,EGDU,0,EGDU,0.01,0.67,EGDU,0,EGDU,0,EGDU,0,0.08,EGDU,0.25,EGDU,--,--,0.33,1.61,0,1.61
Illinois,17,17-085-N400SLRDVN,IL-Jo Daviess County-Silurian-Devonian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0.14,EGAM,1.761,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.23,EGDU,0,EGDU,0,EGDU,0,0.03,EGDU,0.09,EGDU,--,--,0.12,0.49,0,0.49
Illinois,17,17-085-N9999OTHER,IL-Jo Daviess County-Other aquifers,0.219,EGAM,0.03,EGDU,0,EGDU,0.03,0,EGAM,0,EGAM,1.63,EGDU,0,EGDU,1.63,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,1.66,0,1.66
Illinois,17,17-085-S300CAMORD,IL-Jo Daviess County-Cambrian-Ordovician aquifer system,13.404,EGAM,1.84,EGDU,0,EGDU,1.84,0,EGAM,0,EGAM,0.01,EGDU,0,EGDU,0.01,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,1.85,0,1.85
Illinois,17,17-087-N300PNSLVN,IL-Johnson County-Pennsylvanian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0,0,0
Illinois,17,17-087-N500MSSPPI,IL-Johnson County-Mississippian aquifers,0.326,EGAM,0.05,EGDU,0,EGDU,0.05,0.2,EGAM,2.499,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.05,EGDU,0,EGDU,0,EGDU,0,0.04,EGDU,0,EGDU,--,--,0.04,0.34,0,0.34
Illinois,17,17-087-N9999OTHER,IL-Johnson County-Other aquifers,0.065,EGAM,0.01,EGDU,0,EGDU,0.01,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.01,0,0.01
Illinois,17,17-087-S100SECSLP,IL-Johnson County-Southeastern Coastal Plain aquifer system,0.131,EGAM,0.02,EGDU,0,EGDU,0.02,0.19,EGAM,2.375,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0.02,EGDU,0,EGDU,0.02,0.05,EGDU,0,EGDU,0,EGDU,0,0.03,EGDU,0,EGDU,--,--,0.03,0.31,0,0.31
Illinois,17,17-089-N100GLCIAL,IL-Kane County-Sand and gravel aquifers (glaciated regions),121.318,EGAM,15.31,EGDU,0,EGDU,15.31,3.27,EGAM,40.874,EGAM,0.05,EGDU,0,EGDU,0.05,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0.26,EGDU,0,EGDU,0.26,0.2,EGDU,0,EGDU,0,EGDU,0,0.23,EGDU,0.58,EGDU,--,--,0.81,19.9,0,19.9
Illinois,17,17-089-N400SLRDVN,IL-Kane County-Silurian-Devonian aquifers,8.875,EGAM,1.12,EGDU,0,EGDU,1.12,1.09,EGAM,13.625,EGAM,0.53,EGDU,0,EGDU,0.53,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.07,EGDU,0,EGDU,0,EGDU,0,0.08,EGDU,0.19,EGDU,--,--,0.27,3.08,0,3.08
Illinois,17,17-089-N9999OTHER,IL-Kane County-Other aquifers,15.848,EGAM,2,EGDU,0,EGDU,2,0,EGAM,0,EGAM,0.01,EGDU,0,EGDU,0.01,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,2.01,0,2.01
Illinois,17,17-089-S300CAMORD,IL-Kane County-Cambrian-Ordovician aquifer system,172.667,EGAM,21.79,EGDU,0,EGDU,21.79,0,EGAM,0,EGAM,0.01,EGDU,0,EGDU,0.01,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,21.8,0,21.8
Illinois,17,17-091-N100GLCIAL,IL-Kankakee County-Sand and gravel aquifers (glaciated regions),0.131,EGAM,0.02,EGDU,0,EGDU,0.02,1.32,EGAM,16.472,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.16,EGDU,0,EGDU,0,EGDU,0,3.82,EGDU,0.26,EGDU,--,--,4.08,5.58,0,5.58
Illinois,17,17-091-N300PNSLVN,IL-Kankakee County-Pennsylvanian aquifers,0.92,EGAM,0.14,EGDU,0,EGDU,0.14,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.14,0,0.14
Illinois,17,17-091-N400SLRDVN,IL-Kankakee County-Silurian-Devonian aquifers,8.406,EGAM,1.28,EGDU,0,EGDU,1.28,0.44,EGAM,5.491,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,1,EGDU,0,EGDU,1,0.05,EGDU,0,EGDU,0,EGDU,0,1.27,EGDU,0.09,EGDU,--,--,1.36,4.13,0,4.13
Illinois,17,17-091-N9999OTHER,IL-Kankakee County-Other aquifers,0.722,EGAM,0.11,EGDU,0,EGDU,0.11,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.11,0,0.11
Illinois,17,17-093-N100GLCIAL,IL-Kendall County-Sand and gravel aquifers (glaciated regions),5.683,EGAM,0.46,EGDU,0,EGDU,0.46,1.4,EGAM,17.518,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0.02,EGDU,0,EGDU,0.02,0.1,EGDU,0,EGDU,0,EGDU,0,0.03,EGDU,0.07,EGDU,--,--,0.1,2.08,0,2.08
Illinois,17,17-093-N400SLRDVN,IL-Kendall County-Silurian-Devonian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0.46,EGAM,5.756,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.04,EGDU,0,EGDU,0,EGDU,0,0.01,EGDU,0.02,EGDU,--,--,0.03,0.53,0,0.53
Illinois,17,17-093-N9999OTHER,IL-Kendall County-Other aquifers,7.042,EGAM,0.57,EGDU,0,EGDU,0.57,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.57,0,0.57
Illinois,17,17-093-S300CAMORD,IL-Kendall County-Cambrian-Ordovician aquifer system,81.913,EGAM,6.63,EGDU,0,EGDU,6.63,0,EGAM,0,EGAM,0.31,EGDU,0,EGDU,0.31,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,6.94,0,6.94
Illinois,17,17-095-N100GLCIAL,IL-Knox County-Sand and gravel aquifers (glaciated regions),0,EGAM,0,EGDU,0,EGDU,0,0.37,EGAM,4.602,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.58,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0.12,EGDU,--,--,0.12,1.07,0,1.07
Illinois,17,17-095-N300PNSLVN,IL-Knox County-Pennsylvanian aquifers,7.404,EGAM,0.08,EGDU,0,EGDU,0.08,0.12,EGAM,1.492,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.2,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0.04,EGDU,--,--,0.04,0.44,0,0.44
Illinois,17,17-095-N400SLRDVN,IL-Knox County-Silurian-Devonian aquifers,28.689,EGAM,0.31,EGDU,0,EGDU,0.31,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.31,0,0.31
Illinois,17,17-095-N500MSSPPI,IL-Knox County-Mississippian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0,0,0
Illinois,17,17-095-N9999OTHER,IL-Knox County-Other aquifers,1.85,EGAM,0.02,EGDU,0,EGDU,0.02,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.02,0,0.02
Illinois,17,17-095-S300CAMORD,IL-Knox County-Cambrian-Ordovician aquifer system,7.404,EGAM,0.08,EGDU,0,EGDU,0.08,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.08,0,0.08
Illinois,17,17-097-N100GLCIAL,IL-Lake County-Sand and gravel aquifers (glaciated regions),65.937,EGAM,5.75,EGDU,0,EGDU,5.75,5.22,EGAM,65.227,EGAM,0.07,EGDU,0,EGDU,0.07,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0.11,EGDU,0,EGDU,0.11,0.05,EGDU,0,EGDU,0,EGDU,0,0.37,EGDU,1.19,EGDU,--,--,1.56,12.76,0,12.76
Illinois,17,17-097-N400SLRDVN,IL-Lake County-Silurian-Devonian aquifers,16.398,EGAM,1.43,EGDU,0,EGDU,1.43,1.74,EGAM,21.743,EGAM,0.31,EGDU,0,EGDU,0.31,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.02,EGDU,0,EGDU,0,EGDU,0,0.13,EGDU,0.4,EGDU,--,--,0.53,4.03,0,4.03
Illinois,17,17-097-N9999OTHER,IL-Lake County-Other aquifers,5.39,EGAM,0.47,EGDU,0,EGDU,0.47,0,EGAM,0,EGAM,0.05,EGDU,0,EGDU,0.05,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.52,0,0.52
Illinois,17,17-097-S300CAMORD,IL-Lake County-Cambrian-Ordovician aquifer system,35.663,EGAM,3.11,EGDU,0,EGDU,3.11,0,EGAM,0,EGAM,0.18,EGDU,0,EGDU,0.18,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,3.29,0,3.29
Illinois,17,17-099-N100GLCIAL,IL-LaSalle County-Sand and gravel aquifers (glaciated regions),11.451,EGAM,1.39,EGDU,0,EGDU,1.39,1.35,EGAM,16.889,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.16,EGDU,0,EGDU,0,EGDU,0,1.51,EGDU,0.13,EGDU,--,--,1.64,4.54,0,4.54
Illinois,17,17-099-N300PNSLVN,IL-LaSalle County-Pennsylvanian aquifers,0.33,EGAM,0.04,EGDU,0,EGDU,0.04,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.04,0,0.04
Illinois,17,17-099-N400SLRDVN,IL-LaSalle County-Silurian-Devonian aquifers,0.741,EGAM,0.09,EGDU,0,EGDU,0.09,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.09,0,0.09
Illinois,17,17-099-N9999OTHER,IL-LaSalle County-Other aquifers,0,EGAM,0,EGDU,0,EGDU,0,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0.63,EGDU,0,EGDU,0.63,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.63,0,0.63
Illinois,17,17-099-S300CAMORD,IL-LaSalle County-Cambrian-Ordovician aquifer system,62.198,EGAM,7.55,EGDU,0,EGDU,7.55,0.15,EGAM,1.877,EGAM,3.42,EGDU,0,EGDU,3.42,0,EGDU,0,EGDU,0,0.05,EGDU,0,EGDU,0.05,0.05,0,0.05,0.01,EGDU,0,EGDU,0.01,0.02,EGDU,0.11,EGDU,0,EGDU,0.11,0.17,EGDU,0.01,EGDU,--,--,0.18,11.49,0,11.49
Illinois,17,17-101-N100GLCIAL,IL-Lawrence County-Sand and gravel aquifers (glaciated regions),7.868,EGAM,0.42,EGDU,0,EGDU,0.42,0.31,EGAM,3.829,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.16,EGDU,0,EGDU,0,EGDU,0,9.15,EGDU,0.01,EGDU,--,--,9.16,10.05,0,10.05
Illinois,17,17-101-N300PNSLVN,IL-Lawrence County-Pennsylvanian aquifers,0,EGAM,0,EGDU,0,EGDU,0,0.1,EGAM,1.235,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.06,EGDU,0,EGDU,0,EGDU,0,3.05,EGDU,0.01,EGDU,--,--,3.06,3.22,0,3.22
Illinois,17,17-101-N9999OTHER,IL-Lawrence County-Other aquifers,3.559,EGAM,0.19,EGDU,0,EGDU,0.19,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0.5,EGDU,0.5,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.19,0.5,0.69
Illinois,17,17-103-N100GLCIAL,IL-Lee County-Sand and gravel aquifers (glaciated regions),0.274,EGAM,0.04,EGDU,0,EGDU,0.04,0.3,EGAM,3.755,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.15,EGDU,0,EGDU,0,EGDU,0,2.44,EGDU,0.03,EGDU,--,--,2.47,2.96,0,2.96
Illinois,17,17-103-N400SLRDVN,IL-Lee County-Silurian-Devonian aquifers,0.068,EGAM,0.01,EGDU,0,EGDU,0.01,0,EGAM,0,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.01,0,0.01
Illinois,17,17-103-N9999OTHER,IL-Lee County-Other aquifers,0.068,EGAM,0.01,EGDU,0,EGDU,0.01,0,EGAM,0,EGAM,0.01,EGDU,0,EGDU,0.01,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,--,--,0,0.02,0,0.02
Illinois,17,17-103-S300CAMORD,IL-Lee County-Cambrian-Ordovician aquifer system,26.539,EGAM,3.88,EGDU,0,EGDU,3.88,0.31,EGAM,3.88,EGAM,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,EGDU,0,EGDU,0,0,0,0,0,EGDU,0,EGDU,0,0.15,EGDU,0,EGDU,0,EGDU,0,2.45,EGDU,0.03,EGDU,--,--,2.48,6.82,0,6.82
